City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Puerto Ayora,EC,2021-08-04 03:35:13,-0.7393,-90.3518,68.83,83,26,6.11
91,Nara,JP,2021-08-04 03:35:13,34.6851,135.8049,94.32,45,72,2.37
92,Victoria,HK,2021-08-04 03:35:13,22.2855,114.1577,91.96,77,85,1.99
93,Luanda,AO,2021-08-04 03:31:24,-8.8368,13.2343,69.8,94,20,5.75
94,Vanimo,PG,2021-08-04 03:35:13,-2.6741,141.3028,85.8,67,17,7.14
95,Mayo,US,2021-08-04 03:35:14,38.8876,-76.5119,72.16,88,100,1.99
96,Havoysund,NO,2021-08-04 03:35:14,70.9963,24.6622,49.08,81,100,10.36
97,Vestmannaeyjar,IS,2021-08-04 03:35:14,63.4427,-20.2734,53.98,92,100,7.38
98,Alofi,NU,2021-08-04 03:35:15,-19.0595,-169.9187,76.89,57,75,9.22
99,Egvekinot,RU,2021-08-04 03:35:15,66.3167,-179.1667,45.3,99,100,3.04
100,Guerrero Negro,MX,2021-08-04 03:35:15,27.9769,-114.0611,73.6,77,5,11.83
101,Praya,CV,2021-08-04 03:35:16,14.9215,-23.5087,77.54,94,75,4.61
102,Margate,GB,2021-08-04 03:30:39,51.3813,1.3862,55.69,73,2,3.33
103,San Patricio,US,2021-08-04 03:35:16,28.017,-97.5169,84.83,75,88,5.53
104,Kendari,ID,2021-08-04 03:35:17,-3.945,122.4989,85.86,58,100,2.3
105,Balfour,ZA,2021-08-04 03:35:17,-26.6633,28.5902,45.28,63,0,3.24
106,Fairbanks,US,2021-08-04 03:30:41,64.8378,-147.7164,86.0,46,1,13.8
107,Taoudenni,ML,2021-08-04 03:35:17,22.6783,-3.9836,98.4,20,37,9.86
108,Savona,IT,2021-08-04 03:35:18,44.3,8.2667,69.82,84,100,1.48
109,Daokou,CN,2021-08-04 03:35:18,35.5639,114.5058,88.09,61,100,6.53
110,Wilmington,US,2021-08-04 03:35:18,34.2257,-77.9447,72.86,97,90,8.05
111,Ballina,AU,2021-08-04 03:35:19,-28.8667,153.5667,68.18,32,0,17.27
112,Tubuala,PA,2021-08-04 03:35:19,9.5167,-79.0333,78.33,81,100,5.84
113,Kapaa,US,2021-08-04 03:35:20,22.0752,-159.319,84.18,78,75,5.01
114,Kavaratti,IN,2021-08-04 03:35:20,10.5669,72.642,82.42,74,98,15.01
115,Port Alfred,ZA,2021-08-04 03:35:20,-33.5906,26.891,60.67,55,0,12.35
116,Itarema,BR,2021-08-04 03:35:21,-2.9248,-39.9167,76.3,87,65,7.29
