City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Paamiut,GL,61.994,-49.6678,45.16,98,100,11.23,overcast clouds
109,Porto Franco,BR,-6.3383,-47.3992,101.48,18,8,1.52,clear sky
110,Cape Town,ZA,-33.9258,18.4232,55.81,66,0,3.0,clear sky
111,Karangasem,ID,-8.45,115.6167,77.88,88,17,2.48,few clouds
112,Pekan,MY,3.4836,103.3996,78.91,84,100,2.62,light rain
113,Berlevag,NO,70.8578,29.0864,48.58,86,20,9.55,few clouds
114,Isla Mujeres,MX,21.2311,-86.731,77.05,66,2,8.19,clear sky
115,Ewa Beach,US,21.3156,-158.0072,83.01,62,40,19.57,scattered clouds
116,Manicore,BR,-5.8092,-61.3003,84.15,74,75,3.44,broken clouds
117,Pyra,RU,56.2953,43.3527,58.71,56,81,4.83,broken clouds
118,Prado,BR,-17.3411,-39.2208,74.53,64,0,7.2,clear sky
119,Nioro,GM,13.35,-15.75,80.53,81,100,6.76,overcast clouds
120,Ulaanbaatar,MN,47.9077,106.8832,53.73,94,0,2.24,clear sky
121,Greifswald,DE,54.1,13.3833,65.25,73,98,12.08,overcast clouds
122,Kano,NG,12.0001,8.5167,80.49,78,40,4.61,thunderstorm
123,Kroya,ID,-7.6331,109.2461,76.96,90,92,6.38,overcast clouds
124,Zhigansk,RU,66.7697,123.3711,46.67,80,100,13.2,light rain
125,Segezha,RU,63.7415,34.3222,58.3,93,100,11.27,overcast clouds
126,Hamilton,US,39.1834,-84.5333,85.59,55,90,1.01,overcast clouds
127,Nalut,LY,30.3333,10.85,90.64,19,7,9.4,clear sky
128,Souillac,MU,-20.5167,57.5167,71.98,78,75,16.11,light rain
129,Tual,ID,-5.6667,132.75,79.72,85,85,18.72,overcast clouds
130,Le Pradet,FR,43.1066,6.0172,83.44,60,0,8.05,clear sky
131,Iquique,CL,-20.2208,-70.1431,62.64,71,59,8.46,broken clouds
132,Esperance,AU,-33.8667,121.9,49.84,77,59,7.31,broken clouds
133,Sembakung,ID,3.8167,117.25,72.84,99,97,2.13,overcast clouds
134,Suruc,TR,36.9761,38.425,86.2,33,0,16.08,clear sky
135,Pisco,PE,-13.7,-76.2167,66.02,77,90,9.22,overcast clouds
136,Samarai,PG,-10.6167,150.6667,77.95,86,69,17.22,broken clouds
137,Port Macquarie,AU,-31.4333,152.9167,46.36,100,6,0.0,clear sky
138,Bredasdorp,ZA,-34.5322,20.0403,49.32,81,0,2.3,clear sky
139,Seminole,US,28.7086,-81.2081,86.22,83,40,4.61,scattered clouds
140,Luang Prabang,LA,19.8856,102.1347,74.64,100,100,0.43,moderate rain
141,Gusinoye Ozero,RU,51.1144,106.2614,62.82,86,6,1.41,clear sky
142,Padang,ID,-0.9492,100.3543,75.76,95,100,4.94,overcast clouds
143,Chuy,UY,-33.6971,-53.4616,57.72,90,99,6.76,overcast clouds
144,Kaa-Khem,RU,51.6833,94.7333,62.82,73,100,5.1,overcast clouds
145,Hambantota,LK,6.1241,81.1185,79.77,75,100,17.22,overcast clouds
146,Lavrentiya,RU,65.5833,-171.0,49.37,86,100,8.48,overcast clouds
147,Brewster,US,41.3973,-73.6171,90.27,69,20,1.01,few clouds
148,Isangel,VU,-19.55,169.2667,62.71,94,75,0.0,broken clouds
149,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,79,33,12.1,scattered clouds
150,Likasi,CD,-10.9814,26.7333,65.5,33,0,4.36,clear sky
151,Lashio,MM,22.9333,97.75,68.95,100,100,1.68,overcast clouds
152,Newport,GB,51.5877,-2.9984,70.77,81,100,6.08,overcast clouds
153,Jamestown,US,42.097,-79.2353,78.3,58,75,7.0,broken clouds
154,Saint-Pierre,RE,-21.3393,55.4781,71.28,78,90,16.11,moderate rain
155,Mynay,UA,48.5833,22.2833,69.58,51,10,5.48,clear sky
156,Billings,US,45.7833,-108.5007,92.52,26,20,8.05,few clouds
157,Panama City,PA,8.9936,-79.5197,87.75,73,40,5.75,scattered clouds
158,Cayenne,GF,4.9333,-52.3333,87.84,77,54,7.0,broken clouds
159,Santa Helena,BR,-2.2311,-45.3,80.74,83,60,4.79,broken clouds
160,La Ronge,CA,55.1001,-105.2842,84.45,37,20,5.75,few clouds
161,Grindavik,IS,63.8424,-22.4338,55.35,87,75,18.41,broken clouds
162,Okhotsk,RU,59.3833,143.3,54.75,96,66,3.87,broken clouds
163,Arraial Do Cabo,BR,-22.9661,-42.0278,67.96,88,75,5.75,broken clouds
164,Mitsamiouli,KM,-11.3847,43.2844,77.63,76,0,10.0,clear sky
165,Khandbari,NP,27.3747,87.2039,71.87,97,100,0.89,overcast clouds
166,Bosaso,SO,11.2842,49.1816,93.33,42,41,8.19,scattered clouds
167,Namibe,AO,-15.1961,12.1522,65.19,89,68,4.27,broken clouds
168,Yulara,AU,-25.2406,130.9889,53.44,35,6,6.91,clear sky
169,Bafra,TR,41.5678,35.9069,71.38,73,8,3.69,clear sky
170,Repcelak,HU,47.4211,17.018,80.44,48,0,3.87,clear sky
171,Lata,PT,40.1629,-8.3327,82.04,51,60,4.18,broken clouds
172,Beringovskiy,RU,63.05,179.3167,56.12,74,100,8.48,overcast clouds
173,Vostok,RU,46.4856,135.8833,52.3,90,13,2.89,few clouds
174,Jardim,BR,-21.4803,-56.1381,88.27,28,0,4.09,clear sky
175,Noumea,NC,-22.2763,166.4572,55.38,71,0,9.82,clear sky
176,Neryungri,RU,56.6709,124.6491,53.4,82,10,4.81,clear sky
177,Ribeira Grande,PT,38.5167,-28.7,77.4,73,20,4.61,few clouds
178,Leningradskiy,RU,69.3833,178.4167,42.3,85,100,22.35,light rain
179,Usvyaty,RU,55.7456,30.7533,63.52,75,100,8.1,light rain
180,Klaksvik,FO,62.2266,-6.589,50.92,94,100,8.93,overcast clouds
181,La Linea,AR,-27.6243,-55.0388,68.25,67,93,2.15,overcast clouds
182,Pangkalanbuun,ID,-2.6833,111.6167,74.75,97,100,2.77,overcast clouds
183,Bo Rai,TH,12.5728,102.5371,74.77,97,100,2.15,moderate rain
184,Port Hardy,CA,50.6996,-127.4199,64.58,82,75,4.61,broken clouds
185,Kununurra,AU,-15.7667,128.7333,80.58,29,40,9.22,scattered clouds
186,Mehamn,NO,71.0357,27.8492,47.23,88,66,9.46,broken clouds
187,Kodiak,US,57.79,-152.4072,58.51,47,20,17.27,few clouds
188,Hinton,CA,53.4001,-117.5857,88.11,17,100,11.54,overcast clouds
189,Broken Hill,AU,-31.95,141.4333,42.51,65,0,4.61,clear sky
190,Kaoma,ZM,-14.7833,24.8,62.19,36,0,6.13,clear sky
191,Portland,US,45.5234,-122.6762,91.94,52,75,1.01,smoke
192,San Carlos De Bariloche,AR,-41.1456,-71.3082,53.35,82,0,0.0,clear sky
193,Laguna,US,38.421,-121.4238,102.43,39,1,1.01,haze
194,Lewisburg,US,35.4492,-86.7889,89.46,67,20,0.0,few clouds
195,Ambon,ID,-3.6954,128.1814,78.94,89,40,3.44,scattered clouds
196,Porto De Moz,BR,-1.7483,-52.2383,85.95,63,99,2.68,overcast clouds
197,Lorengau,PG,-2.0226,147.2712,81.3,80,92,10.33,overcast clouds
198,Marawi,PH,7.9986,124.2928,64.65,92,98,2.89,overcast clouds
199,Farafangana,MG,-22.8167,47.8333,65.26,74,100,12.55,light rain
200,Ancud,CL,-41.8697,-73.8203,50.43,69,100,2.98,overcast clouds
201,Kishiwada,JP,34.4667,135.3667,75.22,94,90,10.36,overcast clouds
202,Rottenmann,AT,47.5167,14.35,69.37,85,35,2.8,scattered clouds
203,Curaca,BR,-8.9903,-39.9094,87.33,27,52,11.03,broken clouds
204,Ondjiva,AO,-17.0667,15.7333,71.24,18,11,3.83,few clouds
205,Hindaun,IN,26.7167,77.0167,85.24,65,100,8.03,overcast clouds
206,Ucluelet,CA,48.9329,-125.5528,64.71,81,46,8.79,scattered clouds
207,Airai,TL,-8.9266,125.4092,54.21,77,4,3.4,clear sky
208,Jalu,LY,29.0331,21.5482,91.27,24,0,10.71,clear sky
209,Mackay,AU,-21.15,149.2,66.04,94,75,8.05,light rain
210,Morondava,MG,-20.2833,44.2833,76.77,46,0,12.71,clear sky
211,Faya,SA,18.3851,42.4509,77.52,32,13,6.71,few clouds
212,Normandin,CA,48.8333,-72.5321,75.33,38,16,16.11,few clouds
213,Saint Anthony,US,45.0205,-93.218,88.25,30,1,3.0,clear sky
214,Usakos,NA,-22.0,15.6,65.66,27,0,5.7,clear sky
215,Komsomolskiy,UZ,40.4272,71.7189,79.52,19,31,13.8,scattered clouds
216,Bandarbeyla,SO,9.4942,50.8122,77.02,82,98,32.77,overcast clouds
217,Ajdabiya,LY,30.7554,20.2263,84.87,55,0,13.09,clear sky
218,Saint-Philippe,RE,-21.3585,55.7679,71.19,84,94,16.67,light rain
219,Chokurdakh,RU,70.6333,147.9167,41.09,79,100,12.19,overcast clouds
220,Maumere,ID,-8.6199,122.2111,76.75,64,4,2.86,clear sky
221,Kieta,PG,-6.2167,155.6333,78.78,84,100,4.21,overcast clouds
222,Key West,US,24.5557,-81.7826,84.2,72,40,19.57,moderate rain
223,Inhambane,MZ,-23.865,35.3833,65.08,69,68,12.37,broken clouds
224,Sao Filipe,CV,14.8961,-24.4956,75.88,78,66,10.8,broken clouds
225,Upernavik,GL,72.7868,-56.1549,46.92,94,99,11.18,overcast clouds
226,Tetiz,MX,20.9667,-89.9333,91.49,42,10,10.87,clear sky
227,East London,ZA,-33.0153,27.9116,58.8,71,100,9.8,overcast clouds
228,Richards Bay,ZA,-28.783,32.0377,58.8,77,100,3.74,overcast clouds
229,Imbituba,BR,-28.24,-48.6703,66.09,92,92,6.93,overcast clouds
230,Superior,US,46.7208,-92.1041,86.43,37,1,8.05,clear sky
231,Tahe,CN,52.3333,124.7333,61.54,71,95,2.01,overcast clouds
232,Abu Dhabi,AE,24.4667,54.3667,93.31,79,0,5.75,clear sky
233,Iranshahr,IR,27.2025,60.6848,98.94,11,0,6.91,clear sky
234,Fairbanks,US,64.8378,-147.7164,53.6,73,90,3.0,overcast clouds
235,Taltal,CL,-25.4,-70.4833,61.84,62,24,4.59,few clouds
236,Goderich,CA,43.7501,-81.7165,73.04,56,0,11.5,clear sky
237,Mishelevka,RU,52.8575,103.1719,58.05,90,86,3.94,overcast clouds
238,Makakilo City,US,21.3469,-158.0858,80.62,62,20,5.75,few clouds
239,Sandnessjoen,NO,66.0217,12.6316,61.57,72,20,12.66,few clouds
240,Geraldton,AU,-28.7667,114.6,48.61,87,0,11.5,clear sky
241,Moche,PE,-8.1711,-79.0092,68.18,77,40,12.66,scattered clouds
242,Nanuque,BR,-17.8392,-40.3539,84.02,36,35,8.14,scattered clouds
243,Clyde River,CA,70.4692,-68.5914,39.43,100,90,10.36,light intensity drizzle
244,Asfi,MA,32.2994,-9.2372,74.03,78,18,6.93,few clouds
245,Luanda,AO,-8.8368,13.2343,73.4,83,0,6.91,clear sky
246,Katsuura,JP,35.1333,140.3,78.82,93,100,17.29,light rain
247,Winton,US,37.3894,-120.6133,105.08,28,1,9.22,haze
248,Luebo,CD,-5.35,21.4167,80.89,52,83,1.03,broken clouds
249,Kruisfontein,ZA,-34.0033,24.7314,52.88,79,91,2.71,overcast clouds
250,Dourbali,TD,11.8091,15.8632,80.04,76,100,2.75,light rain
251,Alberton,CA,46.8168,-64.0654,84.33,63,5,13.98,clear sky
252,San Patricio,US,28.017,-97.5169,93.87,46,89,9.78,overcast clouds
253,Sinnamary,GF,5.3833,-52.95,83.57,70,20,10.94,few clouds
254,Ongandjera,NA,-17.8833,15.0667,70.7,19,53,5.28,broken clouds
255,Brae,GB,60.3964,-1.353,55.31,90,51,13.35,broken clouds
256,Iwaki,JP,37.05,140.8833,66.78,97,100,13.0,overcast clouds
